cpu		mem		time
 40,0   0,2   00,04
 90,9   0,3   00,14
100,0   0,5   00,25
 90,9   0,6   00,35
100,0   0,7   00,46
100,0   0,8   00,56
100,0   0,9   00,67
100,0   1,0   00,77
100,0   1,1   00,87
100,0   1,3   00,98
100,0   1,4   01,09
100,0   1,5   01,20
 90,9   1,6   01,30
100,0   1,7   01,40
100,0   1,8   01,51
100,0   1,9   01,61
100,0   2,0   01,72
100,0   2,2   01,82
100,0   2,3   01,93
100,0   2,4   02,03
 90,9   2,5   02,13
100,0   2,6   02,24
 90,9   2,7   02,34
100,0   2,8   02,45
 90,9   2,9   02,55
100,0   3,1   02,66
100,0   3,2   02,77
100,0   3,3   02,87
 90,9   3,6   02,97
100,0   4,3   03,08
100,0   5,3   03,19
 90,9   6,8   03,29
100,0   6,8   03,39
100,0   7,4   03,50
100,0   8,0   03,61
 90,9   8,8   03,71
100,0   8,8   03,82
100,0   8,8   03,92
100,0   8,8   04,03
100,0   8,8   04,13
100,0   8,8   04,24
100,0   8,8   04,35
100,0   9,1   04,45
100,0   9,4   04,56
100,0  10,1   04,67
 90,9  10,1   04,77
100,0  10,1   04,87
100,0  10,1   04,98
100,0  10,1   05,09
100,0  10,1   05,19
100,0  10,1   05,30
100,0  10,1   05,41
 90,9  10,9   05,51
 90,9  11,2   05,61
100,0  11,2   05,72
100,0  11,2   05,83
100,0  11,2   05,93
 90,9  11,2   06,03
100,0  11,2   06,14
 90,9  11,5   06,24
100,0  11,9   06,35
100,0  11,9   06,46
 90,9  11,9   06,56
100,0  11,9   06,67
 90,9  11,9   06,77
100,0  11,9   06,88
100,0  12,0   06,99
 90,9  12,4   07,09
100,0  12,8   07,20
100,0  12,8   07,31
 90,9  12,8   07,41
100,0  12,8   07,51
100,0  12,8   07,62
100,0  12,8   07,73
 90,9  13,4   07,83
100,0  13,4   07,94
 90,9  13,4   08,04
100,0  13,4   08,15
100,0  13,4   08,26
 90,9  13,4   08,36
100,0  13,5   08,46
100,0  13,7   08,57
100,0  13,7   08,68
100,0  13,7   08,78
100,0  13,7   08,89
100,0  13,7   08,99
100,0  13,7   09,10
100,0  14,0   09,20
100,0  14,2   09,31
 90,9  14,2   09,41
100,0  14,2   09,52
100,0  14,2   09,63
100,0  14,2   09,73
 90,9  14,2   09,83
100,0  14,6   09,94
 90,9  14,6   10,04
100,0  14,6   10,15
 90,9  14,6   10,25
100,0  14,6   10,36
100,0  14,6   10,47
 90,9  14,9   10,57
100,0  15,1   10,68
 90,9  15,1   10,78
100,0  15,1   10,89
 90,9  15,1   10,99
100,0  15,1   11,10
100,0  15,1   11,21
 90,9  15,6   11,31
100,0  15,6   11,41
100,0  15,6   11,52
100,0  15,6   11,63
 90,9  15,6   11,73
100,0  15,6   11,84
 90,9  15,8   11,94
100,0  16,0   12,05
 90,9  16,0   12,15
100,0  16,0   12,25
100,0  16,0   12,36
 90,9  16,0   12,46
100,0  16,0   12,57
100,0  16,4   12,68
100,0  16,5   12,79
 90,9  16,5   12,89
100,0  16,5   13,00
 90,9  16,5   13,10
100,0  16,5   13,21
 90,9  16,8   13,31
100,0  17,0   13,42
 90,9  17,0   13,52
100,0  17,0   13,63
100,0  17,0   13,74
 90,9  17,0   13,84
100,0  17,0   13,94
 90,9  17,2   14,04
100,0  17,2   14,15
 90,9  17,2   14,25
100,0  17,2   14,36
 90,9  17,2   14,46
100,0  17,4   14,57
 90,9  17,4   14,67
100,0  17,4   14,78
100,0  17,4   14,88
100,0  17,4   14,99
100,0  17,4   15,09
100,0  17,6   15,20
100,0  17,6   15,31
 90,9  17,6   15,41
100,0  17,6   15,52
 90,9  17,6   15,62
100,0  17,8   15,73
100,0  17,9   15,84
 90,9  17,9   15,94
100,0  17,9   16,05
 90,9  17,9   16,15
100,0  17,9   16,26
 90,9  18,1   16,36
100,0  18,1   16,47
 90,9  18,1   16,57
100,0  18,1   16,68
100,0  18,1   16,78
100,0  18,2   16,89
100,0  18,3   16,99
100,0  18,3   17,10
 90,9  18,3   17,20
100,0  18,3   17,31
100,0  18,3   17,42
100,0  18,5   17,53
 90,9  18,6   17,63
100,0  18,6   17,73
100,0  18,6   17,84
100,0  18,6   17,95
 90,9  18,6   18,05
 90,9  18,8   18,15
100,0  18,8   18,26
 90,9  18,8   18,36
100,0  18,8   18,46
100,0  18,8   18,57
100,0  19,0   18,68
100,0  19,0   18,79
100,0  19,0   18,89
100,0  19,0   19,00
100,0  19,0   19,10
100,0  19,0   19,21
 90,9  19,2   19,31
100,0  19,2   19,42
 90,9  19,2   19,52
100,0  19,2   19,63
 90,9  19,2   19,73
100,0  19,2   19,84
 90,9  19,3   19,94
100,0  19,3   20,04
100,0  19,3   20,15
100,0  19,3   20,26
 90,9  19,3   20,36
100,0  19,3   20,46
100,0  19,3   20,57
100,0  19,4   20,67
100,0  19,4   20,78
100,0  19,4   20,88
100,0  19,4   20,99
100,0  19,4   21,09
 90,9  19,5   21,19
100,0  19,5   21,30
 90,9  19,5   21,40
100,0  19,5   21,51
 90,9  19,5   21,61
100,0  19,5   21,72
 90,9  19,5   21,82
100,0  19,6   21,93
 90,9  19,6   22,03
100,0  19,6   22,14
 90,9  19,6   22,24
100,0  19,6   22,35
 90,9  19,6   22,45
100,0  19,7   22,56
 90,9  19,7   22,66
100,0  19,7   22,77
 90,9  19,7   22,87
100,0  19,7   22,98
100,0  19,7   23,09
 90,9  19,8   23,19
100,0  19,8   23,29
100,0  19,8   23,40
100,0  19,8   23,50
100,0  19,8   23,61
100,0  19,8   23,71
100,0  19,8   23,82
100,0  19,9   23,92
100,0  19,9   24,03
100,0  19,9   24,13
 90,9  19,9   24,23
100,0  19,9   24,34
100,0  19,9   24,45
100,0  20,1   24,55
100,0  20,2   24,66
100,0  20,2   24,76
100,0  20,2   24,87
100,0  20,2   24,97
100,0  20,2   25,08
100,0  20,3   25,19
100,0  20,4   25,29
100,0  20,4   25,40
100,0  20,4   25,51
 90,9  20,4   25,61
100,0  20,4   25,72
 90,9  20,6   25,82
 90,9  20,6   25,92
100,0  20,6   26,03
100,0  20,6   26,14
100,0  20,6   26,24
100,0  20,6   26,35
100,0  21,1   26,46
 90,9  21,3   26,56
 90,9  21,3   26,66
100,0  21,3   26,77
100,0  21,3   26,88
100,0  21,3   26,98
 90,9  21,3   27,08
100,0  21,5   27,19
100,0  21,6   27,30
100,0  21,6   27,40
100,0  21,6   27,51
100,0  21,6   27,61
100,0  21,6   27,72
 90,9  21,7   27,82
100,0  21,9   27,93
 90,9  21,9   28,03
100,0  21,9   28,14
100,0  21,9   28,25
100,0  21,9   28,35
 90,9  22,0   28,45
100,0  22,1   28,56
100,0  22,3   28,67
 90,9  22,7   28,77
100,0  22,7   28,87
100,0  22,7   28,98
 90,9  22,7   29,08
 90,9  22,7   29,18
