cpu		mem		time
 40,0   0,3   00,04
100,0   0,4   00,14
 90,9   0,5   00,24
100,0   0,6   00,35
 90,9   0,7   00,45
100,0   0,8   00,55
100,0   1,0   00,65
100,0   1,1   00,76
100,0   1,2   00,87
100,0   1,3   00,97
100,0   1,4   01,08
100,0   1,6   01,18
 90,9   1,7   01,28
100,0   1,8   01,38
100,0   1,9   01,49
 90,9   2,0   01,59
100,0   2,1   01,70
 90,9   2,2   01,80
100,0   2,4   01,90
100,0   2,5   02,00
100,0   2,6   02,11
100,0   2,7   02,21
100,0   2,8   02,32
100,0   2,9   02,43
100,0   3,1   02,53
 90,9   3,2   02,63
100,0   3,3   02,74
 90,9   3,7   02,84
100,0   5,2   02,95
100,0   6,9   03,06
100,0   6,9   03,16
 90,9   7,8   03,26
100,0   8,7   03,37
100,0   8,8   03,48
100,0   8,8   03,59
100,0   8,8   03,69
100,0   8,8   03,80
 90,9   8,8   03,90
100,0   8,8   04,01
 90,9   8,8   04,11
100,0   9,4   04,22
 90,9  10,1   04,32
100,0  10,1   04,43
100,0  10,1   04,54
 90,9  10,1   04,64
100,0  10,1   04,75
100,0  10,1   04,86
100,0  10,1   04,96
100,0  10,1   05,07
 90,9  10,6   05,17
100,0  11,2   05,28
 90,9  11,2   05,38
100,0  11,2   05,49
 90,9  11,2   05,59
100,0  11,2   05,70
100,0  11,2   05,80
100,0  11,5   05,91
100,0  11,9   06,01
 90,9  11,9   06,11
100,0  11,9   06,22
100,0  11,9   06,33
 90,9  11,9   06,43
100,0  11,9   06,54
100,0  12,4   06,65
100,0  12,8   06,76
 90,9  12,8   06,86
100,0  12,8   06,97
 90,9  12,8   07,07
100,0  12,8   07,18
100,0  12,8   07,28
100,0  13,0   07,39
100,0  13,4   07,49
100,0  13,4   07,60
100,0  13,4   07,70
100,0  13,4   07,81
 90,9  13,4   07,91
100,0  13,5   08,02
 90,9  13,7   08,12
100,0  13,7   08,23
100,0  13,7   08,34
100,0  13,7   08,44
100,0  13,7   08,55
100,0  13,7   08,65
 90,9  14,2   08,75
100,0  14,2   08,86
 90,9  14,2   08,96
100,0  14,2   09,07
100,0  14,2   09,17
100,0  14,2   09,28
100,0  14,5   09,38
100,0  14,6   09,50
100,0  14,6   09,60
100,0  14,6   09,71
100,0  14,6   09,81
100,0  14,6   09,92
 90,9  14,9   10,02
100,0  15,1   10,13
100,0  15,1   10,24
100,0  15,1   10,34
 90,9  15,1   10,44
100,0  15,1   10,55
 90,9  15,1   10,65
100,0  15,4   10,76
 90,9  15,6   10,86
100,0  15,6   10,96
100,0  15,6   11,07
100,0  15,6   11,18
100,0  15,6   11,28
100,0  15,9   11,39
100,0  16,0   11,50
 90,9  16,0   11,60
100,0  16,0   11,71
 90,9  16,0   11,81
100,0  16,0   11,92
 90,9  16,0   12,02
100,0  16,5   12,13
