 90,0   0,3   	00,09
100,0   0,4   	00,20
100,0   0,6   	00,31
100,0   0,7   	00,41
 90,9   0,8   	00,51
100,0   0,9   	00,61
100,0   1,0   	00,72
 90,9   1,1   	00,82
100,0   1,3   	00,93
 90,9   1,4   	01,03
100,0   1,5   	01,13
100,0   1,6   	01,23
100,0   1,7   	01,34
100,0   1,8   	01,44
100,0   1,9   	01,55
100,0   2,1   	01,66
100,0   2,2   	01,76
 90,9   2,3   	01,86
100,0   2,4   	01,96
100,0   2,5   	02,06
100,0   2,6   	02,17
100,0   2,7   	02,27
100,0   2,9   	02,38
 90,9   3,0   	02,48
100,0   3,1   	02,59
 90,9   3,2   	02,69
100,0   3,5   	02,79
100,0   4,1   	02,90
 90,9   6,0   	03,00
100,0   7,5   	03,11
 90,9   7,5   	03,21
100,0   8,5   	03,31
100,0   9,3   	03,41
100,0   9,4   	03,52
100,0   9,4   	03,63
 90,9   9,4   	03,73
100,0   9,4   	03,84
100,0   9,4   	03,94
 90,9   9,4   	04,04
100,0   9,4   	04,15
 90,9  10,0   	04,25
100,0  10,7   	04,36
100,0  10,7   	04,46
 90,9  10,7   	04,56
100,0  10,7   	04,67
 90,9  10,7   	04,77
100,0  10,7   	04,88
100,0  10,7   	04,98
100,0  10,7   	05,09
100,0  11,0   	05,19
 90,9  11,9   	05,29
100,0  11,9   	05,40
100,0  11,9   	05,50
100,0  11,9   	05,61
100,0  11,9   	05,71
 90,9  11,9   	05,81
100,0  12,2   	05,91
100,0  12,5   	06,02
100,0  12,5   	06,13
100,0  12,5   	06,23
100,0  12,5   	06,34
100,0  12,5   	06,44
100,0  12,5   	06,55
100,0  12,6   	06,65
 90,9  13,1   	06,75
100,0  13,5   	06,85
100,0  13,5   	06,96
 90,9  13,5   	07,06
100,0  13,5   	07,17
 90,9  13,5   	07,27
100,0  13,5   	07,37
100,0  14,0   	07,48
100,0  14,0   	07,59
100,0  14,0   	07,69
100,0  14,0   	07,80
100,0  14,0   	07,90
 90,9  14,0   	08,00
100,0  14,2   	08,10
100,0  14,4   	08,20
100,0  14,4   	08,31
100,0  14,4   	08,41
100,0  14,4   	08,52
100,0  14,4   	08,62
100,0  14,6   	08,73
 90,9  14,8   	08,83
100,0  14,8   	08,93
100,0  14,8   	09,04
100,0  14,8   	09,14
100,0  14,8   	09,25
 90,9  14,8   	09,35
100,0  15,2   	09,45
100,0  15,3   	09,56
100,0  15,3   	09,67
100,0  15,3   	09,77
 90,9  15,3   	09,87
100,0  15,3   	09,98
 90,9  15,6   	10,08
100,0  15,8   	10,19
100,0  15,8   	10,29
100,0  15,8   	10,40
100,0  15,8   	10,50
 90,9  15,8   	10,60
100,0  15,8   	10,71
100,0  16,2   	10,81
 90,9  16,2   	10,91
100,0  16,2   	11,02
 90,9  16,2   	11,12
100,0  16,2   	11,23
100,0  16,2   	11,33
 90,9  16,5   	11,43
100,0  16,7   	11,54
 90,9  16,7   	11,64
100,0  16,7   	11,74
100,0  16,7   	11,85
100,0  16,7   	11,95
100,0  16,7   	12,06
 90,9  17,2   	12,16
100,0  17,2   	12,26
100,0  17,2   	12,37
 90,9  17,2   	12,47
100,0  17,2   	12,58
 90,9  17,2   	12,68
100,0  17,4   	12,79
100,0  17,6   	12,89
 90,9  17,6   	12,99
100,0  17,6   	13,10
 90,9  17,6   	13,20
100,0  17,6   	13,31
100,0  17,7   	13,41
100,0  17,9   	13,52
100,0  17,9   	13,62
100,0  17,9   	13,73
100,0  17,9   	13,83
100,0  17,9   	13,94
100,0  18,1   	14,04
 90,9  18,1   	14,14
100,0  18,1   	14,25
100,0  18,1   	14,35
100,0  18,1   	14,46
100,0  18,2   	14,56
 90,9  18,3   	14,66
100,0  18,3   	14,77
 90,9  18,3   	14,87
100,0  18,3   	14,98
 90,9  18,3   	15,08
100,0  18,5   	15,19
 90,9  18,5   	15,29
100,0  18,5   	15,40
100,0  18,5   	15,50
100,0  18,5   	15,61
100,0  18,7   	15,71
100,0  18,8   	15,82
100,0  18,8   	15,92
 90,9  18,8   	16,02
100,0  18,8   	16,13
100,0  18,8   	16,23
 90,9  19,0   	16,33
100,0  19,0   	16,44
 90,9  19,0   	16,54
100,0  19,0   	16,65
 90,9  19,0   	16,75
100,0  19,1   	16,85
100,0  19,2   	16,96
100,0  19,2   	17,06
