CPU		MEM	  TIME
 40,0   0,3   00,04
100,0   0,4   00,15
100,0   0,5   00,25
100,0   0,6   00,36
 90,9   0,7   00,46
100,0   0,8   00,56
100,0   0,9   00,67
 90,9   1,1   00,77
100,0   1,2   00,88
 81,8   1,3   00,97
100,0   1,4   01,08
100,0   1,5   01,18
 90,9   1,6   01,28
100,0   1,7   01,39
100,0   1,9   01,49
100,0   2,0   01,60
100,0   2,1   01,71
 90,9   2,2   01,81
100,0   2,3   01,91
100,0   2,4   02,02
 90,9   2,6   02,12
100,0   2,7   02,23
100,0   2,8   02,33
 90,9   2,9   02,43
100,0   3,0   02,53
100,0   3,1   02,64
100,0   3,2   02,74
100,0   3,4   02,84
100,0   4,8   02,95
100,0   6,7   03,05
100,0   6,7   03,15
100,0   7,8   03,26
100,0   8,6   03,36
100,0   8,6   03,47
100,0   8,6   03,57
100,0   8,6   03,68
100,0   8,6   03,78
 90,9   8,6   03,88
100,0   8,6   03,99
100,0   8,6   04,09
 90,9   9,2   04,19
100,0   9,9   04,30
100,0   9,9   04,41
100,0   9,9   04,51
 90,9   9,9   04,61
100,0   9,9   04,72
100,0   9,9   04,83
 90,9   9,9   04,93
100,0   9,9   05,03
 90,9  10,4   05,13
100,0  11,0   05,24
100,0  11,0   05,34
 90,9  11,0   05,44
100,0  11,0   05,55
 90,9  11,0   05,65
100,0  11,0   05,76
 90,9  11,3   05,86
100,0  11,7   05,97
100,0  11,7   06,07
100,0  11,7   06,18
100,0  11,7   06,28
 90,9  11,7   06,38
100,0  11,7   06,49
 90,0  12,3   06,58
100,0  12,6   06,69
100,0  12,6   06,79
100,0  12,6   06,90
100,0  12,6   07,00
100,0  12,6   07,11
 90,9  12,6   07,21
100,0  12,9   07,32
 90,9  13,2   07,42
100,0  13,2   07,52
100,0  13,2   07,63
100,0  13,2   07,73
100,0  13,2   07,84
 90,9  13,3   07,94
100,0  13,5   08,05
 90,9  13,5   08,15
100,0  13,5   08,26
 90,9  13,5   08,36
100,0  13,5   08,46
100,0  13,6   08,57
 90,9  14,0   08,67
100,0  14,0   08,77
 90,9  14,0   08,87
100,0  14,0   08,98
100,0  14,0   09,09
100,0  14,0   09,19
100,0  14,3   09,30
 90,9  14,5   09,40
100,0  14,5   09,50
100,0  14,5   09,61
100,0  14,5   09,71
100,0  14,5   09,82
100,0  14,7   09,93
 90,9  14,9   10,03
100,0  14,9   10,13
100,0  14,9   10,24
 90,9  14,9   10,34
100,0  14,9   10,44
100,0  14,9   10,55
100,0  15,2   10,65
 90,9  15,4   10,75
100,0  15,4   10,86
100,0  15,4   10,96
 90,9  15,4   11,06
100,0  15,4   11,17
100,0  15,7   11,28
100,0  15,9   11,38
100,0  15,9   11,49
100,0  15,9   11,59
 90,9  15,9   11,69
100,0  15,9   11,80
100,0  15,9   11,91
100,0  16,3   12,01
100,0  16,3   12,11
100,0  16,3   12,22
100,0  16,3   12,32
100,0  16,3   12,43
100,0  16,3   12,53
 90,9  16,6   12,63
100,0  16,8   12,73
100,0  16,8   12,84
 90,9  16,8   12,94
100,0  16,8   13,05
 90,9  16,8   13,15
100,0  17,1   13,26
 90,9  17,1   13,36
100,0  17,1   13,47
 90,9  17,1   13,57
100,0  17,1   13,67
100,0  17,1   13,78
100,0  17,2   13,88
100,0  17,2   13,99
 90,9  17,2   14,09
100,0  17,2   14,20
 90,9  17,2   14,30
100,0  17,4   14,40
100,0  17,5   14,52
100,0  17,5   14,62
100,0  17,5   14,73
100,0  17,5   14,83
 90,9  17,5   14,93
100,0  17,7   15,04
100,0  17,7   15,14
 90,9  17,7   15,24
100,0  17,7   15,35
100,0  17,7   15,46
 90,0  17,8   15,55
100,0  17,9   15,66
100,0  17,9   15,76
 90,9  17,9   15,86
100,0  17,9   15,97
 90,9  18,0   16,07
100,0  18,2   16,19
100,0  18,2   16,29
 90,9  18,2   16,39
100,0  18,2   16,50
 90,9  18,2   16,60
100,0  18,3   16,70
 90,9  18,4   16,80
100,0  18,4   16,91
100,0  18,4   17,02
100,0  18,4   17,12
 90,9  18,4   17,22
100,0  18,6   17,33
100,0  18,6   17,44
100,0  18,6   17,54
100,0  18,6   17,65
 90,9  18,6   17,75
100,0  18,8   17,85
100,0  18,9   17,96
100,0  18,9   18,06
100,0  18,9   18,17
100,0  18,9   18,27
100,0  18,9   18,38
100,0  19,0   18,48
 90,9  19,0   18,58
100,0  19,0   18,68
100,0  19,0   18,79
 90,9  19,0   18,89
100,0  19,0   19,00
 90,9  19,1   19,10
100,0  19,1   19,21
 90,9  19,1   19,31
100,0  19,1   19,42
 90,9  19,1   19,52
100,0  19,1   19,62
100,0  19,2   19,73
 90,9  19,2   19,83
100,0  19,2   19,94
 90,9  19,2   20,04
100,0  19,2   20,14
100,0  19,2   20,25
100,0  19,2   20,36
100,0  19,3   20,46
 90,9  19,3   20,56
100,0  19,3   20,67
 90,9  19,3   20,77
100,0  19,3   20,88
 90,9  19,3   20,98
100,0  19,4   21,08
100,0  19,4   21,19
 90,9  19,4   21,29
100,0  19,4   21,40
 90,9  19,4   21,50
100,0  19,4   21,60
100,0  19,5   21,71
100,0  19,6   21,81
100,0  19,6   21,92
 90,9  19,6   22,02
100,0  19,6   22,13
 90,9  19,6   22,23
100,0  19,6   22,33
100,0  19,6   22,44
100,0  19,6   22,54
100,0  19,6   22,65
100,0  19,6   22,75
100,0  19,6   22,86
 90,9  19,6   22,96
100,0  19,7   23,07
 90,9  19,7   23,17
100,0  19,7   23,27
100,0  19,7   23,38
100,0  19,7   23,48
100,0  19,7   23,58
100,0  19,7   23,69
100,0  20,0   23,80
100,0  20,1   23,91
100,0  20,1   24,01
 90,9  20,1   24,11
100,0  20,1   24,22
 90,9  20,1   24,32
100,0  20,2   24,43
100,0  20,2   24,53
100,0  20,2   24,64
100,0  20,2   24,74
100,0  20,2   24,85
100,0  20,3   24,95
 90,9  20,4   25,05
100,0  20,4   25,16
 90,9  20,4   25,26
100,0  20,4   25,37
 90,9  20,4   25,47
100,0  20,5   25,58
 90,0  20,9   25,67
100,0  21,1   25,78
100,0  21,1   25,89
 90,9  21,1   25,99
100,0  21,1   26,09
100,0  21,1   26,20
100,0  21,2   26,30
100,0  21,4   26,41
 90,9  21,4   26,51
100,0  21,4   26,62
 90,9  21,4   26,72
100,0  21,4   26,83
 90,9  21,5   26,93
100,0  21,7   27,03
 90,9  21,7   27,13
100,0  21,7   27,23
100,0  21,7   27,34
100,0  21,7   27,45
100,0  21,7   27,55
 90,9  21,9   27,65
100,0  22,1   27,76
100,0  22,3   27,87
100,0  22,3   27,97
100,0  22,3   28,08
 90,9  22,3   28,18
