CPU		 MEM	TIME
 72,7	 0,3	00,08
 90,9	 0,4	00,18
100,0	 0,5	00,29
100,0	 0,6	00,40
 90,9	 0,7	00,50
 90,9	 0,8	00,60
100,0	 1,0	00,71
 90,9	 1,1	00,81
100,0	 1,2	00,91
100,0	 1,3	01,02
 90,9	 1,4	01,12
100,0	 1,5	01,23
100,0	 1,6	01,34
 90,9	 1,8	01,44
100,0	 1,9	01,55
 90,9	 2,0	01,65
100,0	 2,1	01,76
 90,9	 2,2	01,86
100,0	 2,3	01,96
100,0	 2,4	02,07
100,0	 2,5	02,17
100,0	 2,7	02,28
100,0	 2,8	02,39
 90,9	 2,9	02,49
100,0	 3,0	02,59
100,0	 3,1	02,70
100,0	 3,2	02,80
100,0	 3,4	02,91
100,0	 4,0	03,01
100,0	 4,9	03,12
100,0	 6,0	03,22
100,0	 7,2	03,33
100,0	 7,7	03,43
 90,9	 8,1	03,53
100,0	 8,9	03,64
 90,9	 9,6	03,74
100,0	 9,7	03,85
100,0	 9,7	03,96
 90,9	 9,7	04,06
100,0	 9,7	04,16
100,0	 9,7	04,27
100,0	 9,7	04,37
100,0	 9,7	04,48
100,0	10,2	04,58
100,0	11,0	04,70
100,0	11,0	04,80
100,0	11,0	04,91
100,0	11,0	05,02
100,0	11,0	05,12
100,0	11,0	05,23
100,0	11,0	05,33
100,0	11,0	05,44
 90,9	11,4	05,54
100,0	12,1	05,64
100,0	12,1	05,75
100,0	12,1	05,85
100,0	12,1	05,96
100,0	12,1	06,06
100,0	12,1	06,17
 90,9	12,4	06,27
100,0	12,8	06,38
100,0	12,8	06,49
100,0	12,8	06,59
100,0	12,8	06,70
100,0	12,8	06,80
100,0	12,8	06,91
100,0	13,1	07,02
100,0	13,6	07,12
 90,9	13,7	07,22
100,0	13,7	07,33
 90,9	13,7	07,43
100,0	13,7	07,54
100,0	13,7	07,65
100,0	13,7	07,76
 90,9	14,3	07,86
 90,9	14,3	07,96
100,0	14,3	08,07
 90,9	14,3	08,17
100,0	14,3	08,28
 90,9	14,3	08,38
100,0	14,6	08,49
 90,9	14,6	08,59
100,0	14,6	08,70
 90,9	14,6	08,80
100,0	14,6	08,91
 90,9	14,6	09,01
100,0	14,9	09,12
100,0	15,0	09,23
100,0	15,0	09,34
100,0	15,0	09,44
 90,9	15,0	09,54
100,0	15,0	09,65
 90,9	15,0	09,75
100,0	15,5	09,86
100,0	15,5	09,97
 90,9	15,5	10,07
100,0	15,5	10,17
100,0	15,5	10,28
100,0	15,5	10,38
100,0	15,8	10,49
100,0	16,0	10,59
100,0	16,0	10,70
 90,9	16,0	10,80
100,0	16,0	10,91
100,0	16,0	11,01
100,0	16,0	11,12
 90,9	16,3	11,22
100,0	16,4	11,34
 90,9	16,4	11,44
100,0	16,4	11,55
 90,9	16,4	11,65
100,0	16,4	11,76
 90,9	16,7	11,86
100,0	16,9	11,96
 90,9	16,9	12,06
100,0	16,9	12,17
100,0	16,9	12,28
 90,9	16,9	12,38
100,0	16,9	12,49
100,0	17,2	12,60
100,0	17,4	12,70
100,0	17,4	12,81
 90,9	17,4	12,91
100,0	17,4	13,01
100,0	17,4	13,12
100,0	17,5	13,23
 90,9	17,8	13,33
100,0	17,8	13,44
100,0	17,8	13,55
100,0	17,8	13,65
100,0	17,8	13,76
 90,9	17,8	13,86
100,0	18,1	13,97
 90,9	18,1	14,07
100,0	18,1	14,18
100,0	18,1	14,29
100,0	18,1	14,39
 90,9	18,2	14,49
100,0	18,3	14,60
 90,9	18,3	14,70
100,0	18,3	14,81
100,0	18,3	14,92
 90,9	18,3	15,02
100,0	18,5	15,12
100,0	18,5	15,23
100,0	18,5	15,34
 90,9	18,5	15,44
100,0	18,5	15,54
100,0	18,5	15,65
100,0	18,8	15,76
100,0	18,8	15,87
 90,9	18,8	15,97
100,0	18,8	16,08
 90,9	18,8	16,18
100,0	18,9	16,28
 90,9	19,0	16,38
100,0	19,0	16,49
100,0	19,0	16,60
 90,9	19,0	16,70
100,0	19,0	16,80
100,0	19,2	16,91
100,0	19,2	17,02
 90,9	19,2	17,12
100,0	19,2	17,23
100,0	19,2	17,34
 90,9	19,2	17,44
100,0	19,5	17,55
 90,9	19,5	17,65
100,0	19,5	17,76
 90,9	19,5	17,86
100,0	19,5	17,97
100,0	19,6	18,08
 90,9	19,7	18,18
100,0	19,7	18,29
 90,9	19,7	18,39
100,0	19,7	18,50
 90,9	19,7	18,60
100,0	19,9	18,71
100,0	19,9	18,81
100,0	19,9	18,92
100,0	19,9	19,02
100,0	19,9	19,13
100,0	19,9	19,23
100,0	20,1	19,34
100,0	20,1	19,45
 90,9	20,1	19,55
100,0	20,1	19,65
100,0	20,1	19,76
100,0	20,1	19,87
100,0	20,1	19,97
100,0	20,1	20,08
100,0	20,1	20,18
 90,9	20,1	20,28
100,0	20,1	20,39
100,0	20,1	20,50
100,0	20,2	20,60
 90,9	20,3	20,70
100,0	20,3	20,81
 90,9	20,3	20,91
100,0	20,3	21,02
 90,9	20,3	21,12
100,0	20,3	21,23
100,0	20,4	21,34
 90,9	20,4	21,44
100,0	20,4	21,55
 90,9	20,4	21,65
100,0	20,4	21,76
100,0	20,4	21,87
100,0	20,5	21,97
 90,9	20,5	22,07
