 54,5   0,3   00,06
100,0   0,4   00,17
100,0   0,5   00,28
 81,8   0,6   00,37
100,0   0,7   00,48
100,0   0,8   00,59
100,0   0,9   00,69
100,0   1,1   00,80
100,0   1,2   00,90
 90,9   1,3   01,00
100,0   1,4   01,11
100,0   1,5   01,22
100,0   1,6   01,32
 90,9   1,7   01,42
100,0   1,9   01,53
 90,9   2,0   01,63
100,0   2,1   01,73
100,0   2,2   01,84
100,0   2,3   01,95
 90,9   2,4   02,05
100,0   2,5   02,15
100,0   2,6   02,26
100,0   2,7   02,36
100,0   2,8   02,47
100,0   3,0   02,58
 90,9   3,1   02,68
100,0   3,2   02,79
 90,9   3,3   02,89
100,0   3,6   03,00
 90,9   3,9   03,10
100,0   5,7   03,20
 90,9   6,2   03,30
100,0   7,5   03,41
100,0   7,5   03,52
 90,9   8,0   03,62
100,0   9,1   03,73
100,0   9,4   03,84
100,0   9,4   03,94
100,0   9,4   04,05
100,0   9,4   04,16
 90,9   9,4   04,26
100,0   9,4   04,37
100,0   9,4   04,47
100,0  10,0   04,58
100,0  10,6   04,68
100,0  10,7   04,79
 90,9  10,7   04,89
100,0  10,7   05,00
 90,9  10,7   05,10
100,0  10,7   05,21
 90,9  10,7   05,31
100,0  10,7   05,42
100,0  11,0   05,53
100,0  11,9   05,64
100,0  11,9   05,74
 90,9  11,9   05,84
100,0  11,9   05,95
 90,9  11,9   06,05
100,0  11,9   06,16
100,0  11,9   06,27
 90,9  12,1   06,37
100,0  12,5   06,47
100,0  12,5   06,58
100,0  12,5   06,69
 90,9  12,5   06,79
100,0  12,5   06,89
100,0  12,5   07,00
100,0  12,5   07,11
100,0  13,1   07,21
 90,9  13,4   07,31
100,0  13,4   07,42
 90,9  13,4   07,52
100,0  13,4   07,63
 90,9  13,4   07,73
100,0  13,4   07,84
100,0  14,0   07,95
100,0  14,0   08,06
100,0  14,0   08,16
100,0  14,0   08,27
100,0  14,0   08,37
100,0  14,0   08,48
 90,9  14,1   08,58
100,0  14,3   08,68
100,0  14,3   08,79
100,0  14,3   08,90
 90,9  14,3   09,00
100,0  14,3   09,11
 90,9  14,4   09,21
100,0  14,8   09,32
100,0  14,8   09,43
 90,9  14,8   09,53
100,0  14,8   09,64
100,0  14,8   09,75
100,0  14,8   09,85
 90,9  15,1   09,95
100,0  15,3   10,06
 90,9  15,3   10,16
100,0  15,3   10,27
 90,9  15,3   10,37
100,0  15,3   10,48
100,0  15,3   10,59
 90,9  15,7   10,69
100,0  15,7   10,79
100,0  15,7   10,90
100,0  15,7   11,00
100,0  15,7   11,11
100,0  15,7   11,22
 90,9  16,0   11,32
100,0  16,2   11,42
 90,9  16,2   11,52
100,0  16,2   11,63
100,0  16,2   11,73
100,0  16,2   11,84
100,0  16,2   11,94
100,0  16,6   12,06
100,0  16,7   12,16
100,0  16,7   12,27
100,0  16,7   12,37
100,0  16,7   12,48
100,0  16,7   12,59
100,0  16,9   12,69
100,0  17,1   12,80
100,0  17,1   12,90
100,0  17,1   13,01
 90,9  17,1   13,11
100,0  17,1   13,21
100,0  17,1   13,32
100,0  17,4   13,42
100,0  17,6   13,53
100,0  17,6   13,64
 90,9  17,6   13,74
100,0  17,6   13,85
 90,9  17,6   13,95
100,0  17,9   14,06
100,0  17,9   14,16
100,0  17,9   14,27
100,0  17,9   14,38
 90,9  17,9   14,48
100,0  17,9   14,59
 90,9  18,0   14,69
100,0  18,0   14,80
 90,9  18,0   14,90
100,0  18,0   15,01
100,0  18,0   15,11
 90,9  18,2   15,21
100,0  18,3   15,32
 90,9  18,3   15,42
100,0  18,3   15,53
100,0  18,3   15,64
 90,9  18,3   15,74
100,0  18,5   15,85
 90,9  18,5   15,95
100,0  18,5   16,06
 90,9  18,5   16,16
100,0  18,5   16,27
100,0  18,7   16,38
 90,9  18,7   16,48
100,0  18,7   16,58
100,0  18,7   16,69
100,0  18,7   16,79
100,0  18,7   16,90
100,0  18,9   17,00
100,0  19,0   17,11
100,0  19,0   17,21
100,0  19,0   17,32
100,0  19,0   17,43
100,0  19,0   17,53
100,0  19,2   17,64
100,0  19,2   17,74
100,0  19,2   17,85
100,0  19,2   17,95
100,0  19,2   18,06
 90,9  19,4   18,16
100,0  19,4   18,27
 90,9  19,4   18,37
100,0  19,4   18,48
 90,9  19,4   18,58
100,0  19,4   18,69
100,0  19,6   18,80
100,0  19,7   18,90
 90,9  19,7   19,00
100,0  19,7   19,11
100,0  19,7   19,22
 90,9  19,7   19,32
100,0  19,8   19,43
 90,9  19,8   19,53
100,0  19,8   19,64
 90,9  19,8   19,74
100,0  19,8   19,85
 90,9  19,8   19,95
100,0  19,9   20,06
100,0  19,9   20,17
 90,9  19,9   20,27
100,0  19,9   20,38
100,0  19,9   20,49
100,0  19,9   20,59
 90,9  20,0   20,69
100,0  20,0   20,80
 90,9  20,0   20,90
100,0  20,0   21,01
 90,9  20,0   21,11
100,0  20,0   21,22
