CPU			 MEM		TIME
 90,9		20,8		23,28
100,0		20,8		23,38
100,0		20,8		23,49
100,0		20,8		23,59
100,0		20,8		23,70
100,0		20,8		23,81
100,0		21,0		23,91
 90,9		21,1		24,01
100,0		21,1		24,12
100,0		21,1		24,22
 90,9		21,1		24,32
100,0		21,1		24,43
 90,9		21,3		24,53
100,0		21,3		24,64
100,0		21,3		24,75
100,0		21,3		24,85
100,0		21,3		24,95
 90,9		21,4		25,05
100,0		21,4		25,16
 90,9		21,4		25,26
100,0		21,4		25,37
100,0		21,4		25,47
 90,9		21,4		25,57
100,0		22,0		25,68
 90,9		22,2		25,78
100,0		22,2		25,89
 90,9		22,2		25,99
100,0		22,2		26,09
100,0		22,2		26,20
 90,9		22,2		26,30
100,0		22,3		26,41
 90,9		22,5		26,51
100,0		22,5		26,61
100,0		22,5		26,72
 90,9		22,5		26,82
100,0		22,5		26,93
 90,9		22,6		27,03
100,0		22,8		27,13
100,0		22,8		27,24
 90,9		22,8		27,34
100,0		22,8		27,44
100,0		22,8		27,55
100,0		23,0		27,65
100,0		23,0		27,76
 90,9  		23,5		27,86
100,0  		23,8		27,96
 90,9  		23,8		28,06
100,0  		23,8		28,17
100,0  		23,8		28,27
100,0  		23,8		28,38
100,0  		23,8		28,48
100,0  		 0,0		28,59
